1.00e-001	2.25271e+000
2.00e-001	1.52406e+000
3.00e-001	1.09580e+000
4.00e-001	7.96678e-001
5.00e-001	5.72365e-001
6.00e-001	3.98234e-001
7.00e-001	2.60867e-001
8.00e-001	1.52060e-001
9.00e-001	6.63762e-002
1.00e+000	-1.09351e-008
1.10e+000	-4.98725e-002
1.20e+000	-8.53741e-002
1.30e+000	-1.08175e-001
1.40e+000	-1.19613e-001
1.50e+000	-1.20782e-001
1.60e+000	-1.12592e-001
1.70e+000	-9.58077e-002
1.80e+000	-7.10839e-002
1.90e+000	-3.89843e-002
2.00e+000	-1.09351e-008
2.10e+000	4.54377e-002
2.20e+000	9.69475e-002
2.30e+000	1.54189e-001
2.40e+000	2.16859e-001
2.50e+000	2.84683e-001
2.60e+000	3.57412e-001
2.70e+000	4.34821e-001
2.80e+000	5.16703e-001
2.90e+000	6.02870e-001
3.00e+000	6.93147e-001
3.10e+000	7.87375e-001
3.20e+000	8.85405e-001
3.30e+000	9.87099e-001
3.40e+000	1.09233e+000
3.50e+000	1.20097e+000
3.60e+000	1.31292e+000
3.70e+000	1.42807e+000
3.80e+000	1.54632e+000
3.90e+000	1.66758e+000
4.00e+000	1.79176e+000
4.10e+000	1.91878e+000
4.20e+000	2.04856e+000
4.30e+000	2.18102e+000
4.40e+000	2.31610e+000
4.50e+000	2.45374e+000
4.60e+000	2.59386e+000
4.70e+000	2.73641e+000
4.80e+000	2.88132e+000
4.90e+000	3.02856e+000
5.00e+000	3.17805e+000
5.10e+000	3.32976e+000
5.20e+000	3.48364e+000
5.30e+000	3.63964e+000
5.40e+000	3.79771e+000
5.50e+000	3.95781e+000
5.60e+000	4.11991e+000
5.70e+000	4.28397e+000
5.80e+000	4.44994e+000
5.90e+000	4.61779e+000
6.00e+000	4.78749e+000
6.10e+000	4.95900e+000
6.20e+000	5.13230e+000
